event_id,valid_from,event_number,sequence_index,match_id,iteration_id,period_id,game_time,game_time_in_sec,duration,date_time,squad_id,team_name,attacking_squad_id,attacking_team_name,phase,player_id,player_name,player_position,player_position_side,action_type,action,body_part,body_part_extended,previous_pass_height,result,start_coordinates_x,start_coordinates_y,start_adj_coordinates_x,start_adj_coordinates_y,start_packing_zone,start_pitch_position,start_lane,end_coordinates_x,end_coordinates_y,end_adj_coordinates_x,end_adj_coordinates_y,end_packing_zone,end_pitch_position,end_lane,opponents,pressure,distance_to_goal,pxt_team,pxt_opponent,pressing_player_id,distance_to_opponent,opponent_coordinates_x,opponent_coordinates_y,opponent_adj_coordinates_x,opponent_adj_coordinates_y,pass_receiver_type,pass_receiver_player_id,pass_distance,pass_angle,dribble_distance,dribble_type,dribble_result,dribble_opponent_player_id,shot_distance,shot_angle,shot_target_point_y,shot_target_point_z,shot_woodwork,shot_gk_coordinates_x,shot_gk_coordinates_y,duel_type,duel_player_id,fouled_player_id,formation_team,formation_opponent,inferred_set_piece,set_piece_id,set_piece_category,event_id,iteration_id,valid_from,assists,ball_loss_added_opponents,ball_loss_added_opponents_defenders,ball_loss_number,ball_loss_removed_teammates,ball_loss_removed_teammates_defenders,ball_win_added_teammates,ball_win_added_teammates_defenders,ball_win_number,ball_win_removed_opponents,ball_win_removed_opponents_defenders,bypassed_defenders,bypassed_defenders_by_action_second_ball,bypassed_defenders_receiving,bypassed_defenders_wo_verification,bypassed_opponents,bypassed_opponents_by_action_second_ball,bypassed_opponents_defenders_raw,bypassed_opponents_midfield,bypassed_opponents_number,bypassed_opponents_raw,bypassed_opponents_receiving,bypassed_opponents_receiving_dueto_verification,bypassed_opponents_receiving_number,bypassed_opponents_wo_verification,critical_ball_loss_number,def_pxt_active,def_pxt_attack,def_pxt_ball_loss,def_pxt_ball_win,def_pxt_block,def_pxt_defend,def_pxt_dribble,def_pxt_foul,def_pxt_novideo,def_pxt_other,def_pxt_pass,def_pxt_setpiece,def_pxt_shot,defensive_touches,distance_to_goal_covered_dribble,distance_to_goal_covered_fdr,expected_goal_assists,expected_passes,expected_shot_assists,goals,lost_aerial_duels,lost_ground_duels,neutral_passes,neutral_play_number,number_of_presses,offensive_touches,opp_pxt_ball_loss,opp_pxt_ball_win,opp_pxt_block,opp_pxt_dribble,opp_pxt_foul,opp_pxt_no_video,opp_pxt_pass,opp_pxt_setpiece,opp_pxt_shot,owngoals,packing_xg,postshot_xg,pre_assists,pxt_attack,pxt_ball_win,pxt_block,pxt_defend,pxt_dribble,pxt_foul,pxt_fouled,pxt_no_video,pxt_other,pxt_pass,pxt_passive,pxt_rec,pxt_setpiece,pxt_shot,red_card,reverse_play_added_opponents,reverse_play_added_opponents_defenders,reverse_play_number,second_ball_start,second_ball_win,second_yellow_card,shot_assists,shot_at_goal_number,shot_at_goal_number_blocked,shot_at_goal_number_caught,shot_at_goal_number_on_target,shot_at_goal_number_other,shot_at_goal_number_saved,shot_at_goal_number_success,shot_at_goal_off_target_number,shot_creating_actions,shot_xg,shot_xg_from_passes,successful_passes,unsuccessful_passes,won_aerial_duels,won_ground_duels,yellow_card
6292366152,2026-08-04,0,0,253928,1918,1,00:00.0000,0,0.41,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,SET_PIECE,88704,Darren Smith,CENTER_FORWARD,CENTRE,KICK_OFF,KICKOFF_WHISTLE,FOOT,FOOT_RIGHT,,SUCCESS,0,0,0,0,CBC,MIDDLE_THIRD,CENTER,16.9,2.1,-16.9,-2.1,CBC,MIDDLE_THIRD,CENTER,11,0,52.5,0.005388,0.0004,,,,,,,TEAMMATE,53323,17,187.2,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366152,1918,2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000405,0.000405,,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,0.0004,,0.000405,,,,,,-0.003943,,,,,,,0.005388,,,,,-0.003943,,,,,,,,,,,,,,,,,,,,,,,,,
6292366153,2026-08-04,1,0,253928,1918,1,00:00.4100,0.41,0.0001,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,IN_POSSESSION,53323,Kobe Hernández-Foster,DEFENSE_MIDFIELD,CENTRE,RECEPTION,AVAILABILITY_IN_THE_BACK,FOOT_LOW,FOOT_RIGHT,LOW,,16.9,2.1,-16.9,-2.1,CBC,MIDDLE_THIRD,CENTER,,,,,,,,11,0,69.4,0.001445,0.000805,,MORE_THAN_FOUR_METERS,,,,,,,,,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366153,1918,2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292366154,2026-08-04,2,0,253928,1918,1,00:00.4101,0.4101,2.2509,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,IN_POSSESSION,53323,Kobe Hernández-Foster,DEFENSE_MIDFIELD,CENTRE,DRIBBLE,DRIBBLE,FOOT_LOW,FOOT_RIGHT,,SUCCESS,16.9,2.1,-16.9,-2.1,CBC,MIDDLE_THIRD,CENTER,16.5,0.8,-16.5,-0.8,CBC,MIDDLE_THIRD,CENTER,11,0,69.4,0.001445,0.000805,,MORE_THAN_FOUR_METERS,,,,,,,,,1.350750526,CARRY,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366154,1918,2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292366155,2026-08-04,3,0,253928,1918,1,00:02.6610,2.661,2.888,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,IN_POSSESSION,53323,Kobe Hernández-Foster,DEFENSE_MIDFIELD,CENTRE,PASS,CHIPPED_PASS,FOOT,FOOT_LEFT,,FAIL,16.5,0.8,-16.5,-0.8,CBC,MIDDLE_THIRD,CENTER,-32.6,-12.8,32.6,12.8,OPP_CBR,FINAL_THIRD,LEFT_HALF_SPACE,11,0,69,0.001445,0.000805,,MORE_THAN_FOUR_METERS,,,,,OPPONENT,226713,51,15.6,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366155,1918,2026-08-04,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.00064,0.00064,,,,,,,,,,,,,,0.000219,0.382607,,,,,,,,,0.00064,,,,,,,,,,,,,-0.000358,,,,,,,,,-0.000358,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
6292366156,2026-08-04,4,1,253928,1918,1,00:05.5490,5.549,0.0001,2026-07-18 19:00:00-04,1627,Indy Eleven,1627,Indy Eleven,ATTACKING_TRANSITION,226713,Makel Rasheed,CENTRAL_DEFENDER,CENTRE_RIGHT,LOOSE_BALL_REGAIN,LOOSE_BALL_REGAIN,FOOT_HIGH,FOOT_RIGHT,HIGH,,-32.6,-12.8,-32.6,-12.8,CBR,FIRST_THIRD,RIGHT_HALF_SPACE,,,,,,,,11,0,86.1,0.001445,0.001088,,MORE_THAN_FOUR_METERS,,,,,,,,,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366156,1918,2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000358,,-0.000358,,,,,,,,1,,,,,,,,,,,,,,-0.000358,,,,,,,,,,,,,0.00064,,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292366157,2026-08-04,5,1,253928,1918,1,00:05.5491,5.5491,2.3159,2026-07-18 19:00:00-04,1627,Indy Eleven,1627,Indy Eleven,ATTACKING_TRANSITION,226713,Makel Rasheed,CENTRAL_DEFENDER,CENTRE_RIGHT,CLEARANCE,CLEARANCE,FOOT,FOOT_RIGHT,,FAIL,-32.6,-12.8,-32.6,-12.8,CBR,FIRST_THIRD,RIGHT_HALF_SPACE,1.6,7.8,1.6,7.8,OPP_DMR,MIDDLE_THIRD,CENTER,11,0,86.1,0.001445,0.001088,,MORE_THAN_FOUR_METERS,,,,,OPPONENT,250133,40,31.1,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366157,1918,2026-08-04,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.002305,,,0.002305,,,,,,,,,,,,0.532658,,,,,,,,,0.002305,,,,,,,,,,,,,,,,-0.000867,,,,,,-0.000867,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
6292366158,2026-08-04,6,2,253928,1918,1,00:07.8650,7.865,0.0001,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,ATTACKING_TRANSITION,250133,Haruki Yamazaki,RIGHT_WINGBACK_DEFENDER,RIGHT,LOOSE_BALL_REGAIN,LOOSE_BALL_REGAIN,FOOT_HIGH,FOOT_RIGHT,HIGH,,1.6,7.8,-1.6,-7.8,DMR,MIDDLE_THIRD,CENTER,,,,,,,,10,0,54.7,0.003392,0.000578,,MORE_THAN_FOUR_METERS,,,,,,,,,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366158,1918,2026-08-04,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0.00054,0.00054,,-0.000867,,-0.000867,,,,,,,,1,,,,,,,,,,,,,,-0.000867,,,,,,,,,,,,,0.002305,,0.002305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292366159,2026-08-04,7,2,253928,1918,1,00:07.8651,7.8651,2.5489,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,ATTACKING_TRANSITION,250133,Haruki Yamazaki,RIGHT_WINGBACK_DEFENDER,RIGHT,DRIBBLE,DRIBBLE,FOOT_HIGH,FOOT_RIGHT,,SUCCESS,1.6,7.8,-1.6,-7.8,DMR,MIDDLE_THIRD,CENTER,-7.3,5.5,7.3,-5.5,DMR,MIDDLE_THIRD,CENTER,10,0,54.7,0.003392,0.000578,,MORE_THAN_FOUR_METERS,,,,,,,,,9.220477859,PROGRESSIVE_CARRY,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366159,1918,2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16,,,,,,,,,1,,,,,,0.00054,,,,,,,,,,-0.00021,,,,-0.00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292366160,2026-08-04,8,2,253928,1918,1,00:10.4140,10.414,0.932,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,ATTACKING_TRANSITION,250133,Haruki Yamazaki,RIGHT_WINGBACK_DEFENDER,RIGHT,PASS,LOW_PASS,FOOT,FOOT_RIGHT,,SUCCESS,-7.3,5.5,7.3,-5.5,DMR,MIDDLE_THIRD,CENTER,-10.1,-0.2,10.1,0.2,CBC,MIDDLE_THIRD,CENTER,10,50,45.5,0.003182,0.001118,125826,LESS_THAN_ONE_METER,-6.5,5.5,6.5,-5.5,TEAMMATE,41978,6.3,64.2,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366160,1918,2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000369,-0.000369,,,,,,,,,,,,,,,,0.958512,,,,,,,,,,,,,,,-0.000369,,,,,,,0.00069,,,,,,,,,0.001379,,,,,,0.5,,1,,,,,,,,,,,,,,,,1,,,,
6292366161,2026-08-04,9,2,253928,1918,1,00:11.3460,11.346,0.0001,2026-07-18 19:00:00-04,3510,Detroit City FC,3510,Detroit City FC,ATTACKING_TRANSITION,41978,Maxi Rodriguez,CENTRAL_MIDFIELD,CENTRE_RIGHT,RECEPTION,AVAILABILITY_IN_THE_BACK,FOOT_LOW,FOOT_RIGHT,LOW,,-10.1,-0.2,10.1,0.2,CBC,MIDDLE_THIRD,CENTER,,,,,,,,11,40,42.4,0.004562,0.000749,,ONE_METER,-10.1,1.1,10.1,-1.1,,,,,,,,,,,,,,,,,,,4-3-2003,4-3-2003,FALSE,,,6292366161,1918,2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.00069,,,,,,,,,,,0.001379,,,,,,,,,,,,,,,,,,,,,,,,,,
